, File Name, Addational Materialized Temporarys, Clang Trunk, Diff
54, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/CallGraphWalker.cpp, 4334, 702, 3632
55, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/DataflowAnalysis.cpp, 10007, 4319, 5688
56, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/DataflowInfoManager.cpp, 11274, 5282, 5992
57, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/FixRISCVCallsPass.cpp, 9756, 4316, 5440
58, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/FixRelaxationPass.cpp, 9759, 4318, 5441
59, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/FrameAnalysis.cpp, 11552, 5003, 6549
60, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/FrameOptimizer.cpp, 11637, 5515, 6122
61, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/HFSort.cpp, 4144, 712, 3432
62, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/HFSortPlus.cpp, 4870, 941, 3929
63, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/Hugify.cpp, 9759, 4319, 5440
64, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/IdenticalCodeFolding.cpp, 10600, 4679, 5921
65, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/IndirectCallPromotion.cpp, 11918, 5768, 6150
66, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/Inliner.cpp, 10059, 4567, 5492
67, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/Instrumentation.cpp, 10776, 4880, 5896
68, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/JTFootprintReduction.cpp, 11313, 5262, 6051
69, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/LivenessAnalysis.cpp, 10328, 4467, 5861
70, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/LongJmp.cpp, 10105, 4485, 5620
71, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/LoopInversionPass.cpp, 9807, 4351, 5456
72, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/MCF.cpp, 11182, 5153, 6029
73, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/PLTCall.cpp, 9807, 4355, 5452
74, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/PatchEntries.cpp, 9809, 4364, 5445
75, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/PettisAndHansen.cpp, 3773, 632, 3141
76, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/RegAnalysis.cpp, 10179, 4407, 5772
